	Frequency [Hz]	[A] Frequency Response (Real) [N]	[B] Frequency Response (Imaginary) [N]	
1	43.133	0.51107	-1.6423e-003	
2	56.267	0.34295	-2.5751e-003	
3	69.4	0.27	-4.1035e-003	
4	82.533	0.24318	-6.9582e-003	
5	95.667	0.25184	-1.3371e-002	
6	108.8	0.31448	-3.3152e-002	
7	121.93	0.56366	-0.16113	
8	135.07	-0.81495	-1.015	
9	148.2	-0.31239	-7.0797e-002	
10	161.33	-0.17022	-2.0736e-002	
11	174.47	-0.11863	-8.6241e-003	
12	187.6	-9.5355e-002	-3.437e-003	
13	200.73	-8.5475e-002	6.3587e-006	
14	213.87	-8.4873e-002	3.708e-003	
15	227.	-9.4648e-002	1.0199e-002	
16	240.13	-0.12377	2.868e-002	
17	253.27	-0.19485	0.13319	
18	266.4	0.15755	0.24647	
19	279.53	0.10841	4.2927e-002	
20	292.67	6.6265e-002	1.4479e-002	
21	305.8	4.7769e-002	6.5019e-003	
22	318.93	3.8466e-002	3.1152e-003	
23	332.07	3.3656e-002	1.1958e-003	
24	345.2	3.159e-002	-2.4305e-004	
25	358.33	3.1656e-002	-1.694e-003	
26	371.47	3.39e-002	-3.6223e-003	
27	384.6	3.9032e-002	-6.8372e-003	
28	397.73	4.8884e-002	-1.3378e-002	
29	410.87	6.7496e-002	-3.0041e-002	
30	424.	9.7247e-002	-8.7063e-002	
31	437.13	-1.1152e-003	-0.25213	
32	450.27	-0.19809	-0.1066	
33	463.4	-0.19019	1.1604e-002	
34	476.53	-0.16256	0.14056	
35	489.67	3.8855e-002	0.16682	
36	502.8	6.3643e-002	5.5575e-002	
37	515.93	4.4188e-002	2.1277e-002	
38	529.07	3.2431e-002	9.6223e-003	
39	542.2	2.6243e-002	4.3345e-003	
40	555.33	2.3374e-002	1.019e-003	
41	568.47	2.2885e-002	-2.2328e-003	
42	581.6	2.4437e-002	-7.5796e-003	
43	594.73	2.5397e-002	-2.0274e-002	
44	607.87	5.6397e-003	-3.8259e-002	
45	621.	-1.6734e-002	-2.2174e-002	
46	634.13	-1.5923e-002	-8.5762e-003	
47	647.27	-1.337e-002	-2.8566e-003	
48	660.4	-1.2052e-002	1.0184e-003	
49	673.53	-1.0251e-002	6.214e-003	
50	686.67	-2.7013e-003	9.6877e-003	
51	699.8	2.0345e-003	5.2395e-003	
52	712.93	1.9478e-003	2.2924e-003	
53	726.07	1.374e-003	1.1164e-003	
54	739.2	9.6034e-004	6.067e-004	
55	752.33	6.9277e-004	3.5773e-004	
56	765.47	5.1848e-004	2.2376e-004	
57	778.6	4.0199e-004	1.4602e-004	
58	791.73	3.2212e-004	9.8068e-005	
59	804.87	2.662e-004	6.6906e-005	
60	818.	2.2652e-004	4.5636e-005	
61	831.13	1.983e-004	3.0351e-005	
62	844.27	1.785e-004	1.8683e-005	
63	857.4	1.6525e-004	9.0644e-006	
64	870.53	1.5742e-004	3.1641e-007	
65	883.67	1.5448e-004	-8.6418e-006	
66	896.8	1.5636e-004	-1.9068e-005	
67	909.93	1.6351e-004	-3.2793e-005	
68	923.07	1.7683e-004	-5.2945e-005	
69	936.2	1.9746e-004	-8.5509e-005	
70	949.33	2.2534e-004	-1.4288e-004	
71	962.47	2.5206e-004	-2.5173e-004	
72	975.6	2.2814e-004	-4.6368e-004	
73	988.73	-4.9709e-005	-7.9715e-004	
74	1001.9	-8.8556e-004	-7.6638e-004	
75	1015.	-1.3075e-003	4.0147e-004	
76	1028.1	-2.1813e-004	1.187e-003	
77	1041.3	6.1698e-004	5.162e-004	
78	1054.4	4.0998e-004	-9.2277e-005	
79	1067.5	1.1908e-004	-1.4781e-004	
80	1080.7	2.1175e-005	-8.4252e-005	
81	1093.8	-1.2981e-006	-4.3167e-005	
82	1106.9	-4.9009e-006	-2.2973e-005	
83	1120.1	-4.435e-006	-1.3147e-005	
84	1133.2	-3.3725e-006	-8.158e-006	
85	1146.3	-2.4534e-006	-5.489e-006	
86	1159.5	-1.7736e-006	-3.9845e-006	
87	1172.6	-1.2929e-006	-3.0929e-006	
88	1185.7	-9.563e-007	-2.5384e-006	
89	1198.9	-7.1969e-007	-2.1771e-006	
90	1212.	-5.5169e-007	-1.9305e-006	
91	1225.1	-4.3086e-007	-1.7543e-006	
92	1238.3	-3.4271e-007	-1.6229e-006	
93	1251.4	-2.7746e-007	-1.5208e-006	
