	Frequency [Hz]	Real [N]	Imaginary [N]	
1	43.133	0.43828	-1.8472e-003	
2	56.267	0.30264	-3.0423e-003	
3	69.4	0.24898	-5.2096e-003	
4	82.533	0.24067	-9.9653e-003	
5	95.667	0.28315	-2.4108e-002	
6	108.8	0.47493	-0.1075	
7	121.93	-0.66234	-1.3065	
8	135.07	-0.29554	-6.6251e-002	
9	148.2	-0.15458	-1.7916e-002	
10	161.33	-0.10679	-6.9557e-003	
11	174.47	-8.6839e-002	-2.1285e-003	
12	187.6	-8.0642e-002	1.657e-003	
13	200.73	-8.6199e-002	7.385e-003	
14	213.87	-0.11166	2.4257e-002	
15	227.	-0.17702	0.14423	
16	240.13	0.1392	0.13123	
17	253.27	7.1498e-002	2.363e-002	
18	266.4	4.3142e-002	8.4352e-003	
19	279.53	3.0713e-002	3.8889e-003	
20	292.67	2.4393e-002	1.9013e-003	
21	305.8	2.1071e-002	7.6466e-004	
22	318.93	1.9566e-002	-8.712e-005	
23	332.07	1.9456e-002	-9.4318e-004	
24	345.2	2.0756e-002	-2.0818e-003	
25	358.33	2.3922e-002	-3.9883e-003	
26	371.47	3.0175e-002	-7.8779e-003	
27	384.6	4.2411e-002	-1.7687e-002	
28	397.73	6.5853e-002	-5.0617e-002	
29	410.87	5.0526e-002	-0.19173	
30	424.	-0.29778	-0.11469	
31	437.13	-0.11481	0.22932	
32	450.27	5.5782e-002	8.5138e-002	
33	463.4	3.8406e-002	2.5773e-002	
34	476.53	2.5165e-002	1.0151e-002	
35	489.67	1.8525e-002	4.4623e-003	
36	502.8	1.5365e-002	1.6105e-003	
37	515.93	1.4331e-002	-6.22e-004	
38	529.07	1.4967e-002	-3.8524e-003	
39	542.2	1.582e-002	-1.172e-002	
40	555.33	2.6589e-003	-2.395e-002	
41	568.47	-1.1582e-002	-1.2211e-002	
42	581.6	-1.0703e-002	-3.5446e-003	
43	594.73	-9.2409e-003	1.1975e-003	
44	607.87	-5.4053e-003	6.1611e-003	
45	621.	6.1221e-004	4.5831e-003	
46	634.13	1.2019e-003	1.7737e-003	
47	647.27	8.2268e-004	7.5197e-004	
48	660.4	5.4081e-004	3.6568e-004	
49	673.53	3.7033e-004	1.9634e-004	
50	686.67	2.669e-004	1.1259e-004	
51	699.8	2.0236e-004	6.7054e-005	
52	712.93	1.6114e-004	4.0181e-005	
53	726.07	1.3466e-004	2.2926e-005	
54	739.2	1.1816e-004	1.0593e-005	
55	752.33	1.0905e-004	3.0553e-007	
56	765.47	1.0614e-004	-1.0319e-005	
57	778.6	1.0919e-004	-2.432e-005	
58	791.73	1.1843e-004	-4.7367e-005	
59	804.87	1.3177e-004	-9.2564e-005	
60	818.	1.2829e-004	-1.9087e-004	
61	831.13	-1.6183e-005	-3.6825e-004	
62	844.27	-5.0499e-004	-2.2868e-004	
63	857.4	-2.4645e-004	4.5668e-004	
64	870.53	2.1427e-004	1.4643e-004	
65	883.67	7.9644e-005	-4.0042e-005	
66	896.8	1.4114e-005	-2.7868e-005	
67	909.93	1.3857e-006	-1.3275e-005	
68	923.07	-6.1681e-007	-7.0697e-006	
69	936.2	-7.3683e-007	-4.5156e-006	
70	949.33	-5.8248e-007	-3.3769e-006	
71	962.47	-4.3415e-007	-2.8102e-006	
72	975.6	-3.2586e-007	-2.491e-006	
73	988.73	-2.4858e-007	-2.2875e-006	
74	1001.9	-1.9207e-007	-2.1477e-006	
75	1015.	-1.6091e-007	-2.0435e-006	
76	1028.1	-1.4389e-007	-1.9438e-006	
77	1041.3	-1.2133e-007	-1.8531e-006	
78	1054.4	-1.0159e-007	-1.777e-006	
79	1067.5	-8.7187e-008	-1.7084e-006	
80	1080.7	-7.5938e-008	-1.6443e-006	
81	1093.8	-6.6659e-008	-1.584e-006	
82	1106.9	-5.8797e-008	-1.527e-006	
83	1120.1	-5.2032e-008	-1.473e-006	
84	1133.2	-4.615e-008	-1.4217e-006	
85	1146.3	-4.0995e-008	-1.3729e-006	
86	1159.5	-3.6446e-008	-1.3264e-006	
87	1172.6	-3.2412e-008	-1.2821e-006	
88	1185.7	-2.8818e-008	-1.2397e-006	
89	1198.9	-2.5604e-008	-1.1993e-006	
90	1212.	-2.272e-008	-1.1606e-006	
91	1225.1	-2.0125e-008	-1.1237e-006	
92	1238.3	-1.7783e-008	-1.0882e-006	
93	1251.4	-1.5667e-008	-1.0543e-006	
94	1264.5	-1.3749e-008	-1.0218e-006	
95	1277.7	-1.2009e-008	-9.9064e-007	
96	1290.8	-1.0427e-008	-9.6072e-007	
97	1303.9	-8.9873e-009	-9.3201e-007	
98	1317.1	-7.6749e-009	-9.0444e-007	
99	1330.2	-6.4774e-009	-8.7795e-007	
100	1343.3	-5.3835e-009	-8.5249e-007	
101	1356.5	-4.3834e-009	-8.2801e-007	
102	1369.6	-3.4683e-009	-8.0445e-007	
103	1382.7	-2.6303e-009	-7.8179e-007	
104	1395.9	-1.8625e-009	-7.5998e-007	
105	1409.	-1.1585e-009	-7.3896e-007	
106	1422.1	-5.1286e-010	-7.1872e-007	
107	1435.3	7.9537e-011	-6.9922e-007	
108	1448.4	6.2322e-010	-6.8041e-007	
109	1461.5	1.1223e-009	-6.6227e-007	
110	1474.7	1.5804e-009	-6.4477e-007	
111	1487.8	2.001e-009	-6.2789e-007	
112	1500.9	2.387e-009	-6.1159e-007	
113	1514.1	2.7412e-009	-5.9585e-007	
114	1527.2	3.0661e-009	-5.8064e-007	
115	1540.3	3.364e-009	-5.6595e-007	
116	1553.5	3.6369e-009	-5.5175e-007	
117	1566.6	3.8867e-009	-5.3803e-007	
118	1579.7	4.1151e-009	-5.2475e-007	
119	1592.9	4.3237e-009	-5.119e-007	
120	1606.	4.5139e-009	-4.9948e-007	
121	1619.1	4.6869e-009	-4.8745e-007	
122	1632.3	4.8439e-009	-4.758e-007	
123	1645.4	4.9859e-009	-4.6452e-007	
124	1658.5	5.1139e-009	-4.5359e-007	
125	1671.7	5.2289e-009	-4.43e-007	
126	1684.8	5.3319e-009	-4.3273e-007	
127	1697.9	5.4244e-009	-4.2278e-007	
128	1711.1	5.5088e-009	-4.1312e-007	
129	1724.2	5.59e-009	-4.0374e-007	
130	1737.3	5.6777e-009	-3.9463e-007	
131	1750.5	5.7853e-009	-3.8579e-007	
132	1763.6	5.9157e-009	-3.7723e-007	
133	1776.7	6.0356e-009	-3.6898e-007	
134	1789.9	6.1036e-009	-3.61e-007	
135	1803.	6.1278e-009	-3.5323e-007	
136	1816.1	6.1389e-009	-3.4566e-007	
137	1829.3	6.1502e-009	-3.383e-007	
138	1842.4	6.1619e-009	-3.3114e-007	
139	1855.5	6.1725e-009	-3.2417e-007	
