	Frequency [Hz]	[A] Frequency Response (Real) [N]	[B] Frequency Response (Imaginary) [N]	
1	43.133	0.44848	-1.8172e-003	
2	56.267	0.30825	-2.97e-003	
3	69.4	0.2518	-5.0324e-003	
4	82.533	0.24061	-9.4481e-003	
5	95.667	0.27702	-2.1996e-002	
6	108.8	0.43956	-8.7505e-002	
7	121.93	-2.699e-002	-1.6928	
8	135.07	-0.33321	-8.3779e-002	
9	148.2	-0.16611	-2.0798e-002	
10	161.33	-0.112	-8.0054e-003	
11	174.47	-8.9387e-002	-2.7519e-003	
12	187.6	-8.1398e-002	1.0105e-003	
13	200.73	-8.4774e-002	6.1024e-003	
14	213.87	-0.10522	1.9275e-002	
15	227.	-0.16688	9.5171e-002	
16	240.13	0.1332	0.20817	
17	253.27	8.2812e-002	3.1665e-002	
18	266.4	4.8012e-002	1.0356e-002	
19	279.53	3.3347e-002	4.6174e-003	
20	292.67	2.6046e-002	2.2509e-003	
21	305.8	2.2217e-002	9.5804e-004	
22	318.93	2.0421e-002	2.9038e-005	
23	332.07	2.0131e-002	-8.7028e-004	
24	345.2	2.1315e-002	-2.0367e-003	
25	358.33	2.4407e-002	-3.9667e-003	
26	371.47	3.0624e-002	-7.8928e-003	
27	384.6	4.2869e-002	-1.7815e-002	
28	397.73	6.6286e-002	-5.1356e-002	
29	410.87	4.679e-002	-0.19465	
30	424.	-0.29836	-0.10113	
31	437.13	-9.4829e-002	0.22311	
32	450.27	5.2856e-002	7.7144e-002	
33	463.4	3.5548e-002	2.3584e-002	
34	476.53	2.3249e-002	9.3447e-003	
35	489.67	1.7103e-002	4.1094e-003	
36	502.8	1.4193e-002	1.4546e-003	
37	515.93	1.3266e-002	-6.7355e-004	
38	529.07	1.3886e-002	-3.8752e-003	
39	542.2	1.4217e-002	-1.1842e-002	
40	555.33	-4.4651e-005	-2.1468e-002	
41	568.47	-1.0629e-002	-9.6344e-003	
42	581.6	-9.551e-003	-2.3813e-003	
43	594.73	-7.9595e-003	2.2944e-003	
44	607.87	-2.717e-003	5.7557e-003	
