	Steps	Time [s]	Deformation Probe  (Total) [mm]	[D] Force Reaction  (Total) [N]	
1	1	3.3333e-002	0.2	5.3184	
2	1	6.6667e-002	0.4	9.8903	
3	1	0.11667	0.7	15.51	
4	1	0.16667	1.	19.868	
5	1	0.21667	1.3	23.195	
6	1	0.26667	1.6	25.714	
7	1	0.31667	1.9	27.648	
8	1	0.36667	2.2	29.219	
9	1	0.41667	2.5	30.642	
10	1	0.46667	2.8	32.117	
11	1	0.51667	3.1	33.82	
12	1	0.56667	3.4	35.904	
13	1	0.61667	3.7	38.498	
14	1	0.66667	4.	41.717	
15	1	0.71667	4.3	45.665	
16	1	0.76667	4.6	50.437	
17	1	0.81667	4.9	56.126	
18	1	0.86667	5.2	62.816	
19	1	0.91667	5.5	70.567	
20	1	0.96667	5.8	79.507	
21	1	1.	6.	86.169	
