	Steps	Time [s]	Deformation Probe  (Total) [mm]	[D] Force Reaction  (Total) [N]	
1	1	3.3333e-002	0.2	7.7786	
2	1	6.6667e-002	0.4	14.477	
3	1	0.11667	0.7	22.704	
4	1	0.16667	1.	29.052	
5	1	0.21667	1.3	33.835	
6	1	0.26667	1.6	37.381	
7	1	0.31667	1.9	40.049	
8	1	0.36667	2.2	42.198	
9	1	0.41667	2.5	44.151	
10	1	0.46667	2.8	46.199	
11	1	0.51667	3.1	48.619	
12	1	0.56667	3.4	51.657	
13	1	0.61667	3.7	55.515	
14	1	0.66667	4.	60.348	
15	1	0.71667	4.3	66.29	
16	1	0.76667	4.6	73.463	
17	1	0.81667	4.9	81.947	
18	1	0.86667	5.2	91.93	
19	1	0.91667	5.5	103.49	
20	1	0.96667	5.8	116.72	
21	1	1.	6.	126.53	
