	Steps	Time [s]	Deformation Probe  (Total) [mm]	[A] Force Reaction  (Total) [N]	
1	1	3.3333e-002	0.2	0.76717	
2	1	6.6667e-002	0.4	1.4355	
3	1	0.11667	0.7	2.269	
4	1	0.16667	1.	2.9211	
5	1	0.21667	1.3	3.4151	
6	1	0.26667	1.6	3.7747	
7	1	0.31667	1.9	4.0236	
8	1	0.36667	2.2	4.1854	
9	1	0.41667	2.5	4.2838	
10	1	0.46667	2.8	4.3423	
11	1	0.51667	3.1	4.3844	
12	1	0.56667	3.4	4.433	
13	1	0.61667	3.7	4.5108	
14	1	0.66667	4.	4.6399	
15	1	0.71667	4.3	4.8411	
16	1	0.76667	4.6	5.1373	
17	1	0.81667	4.9	5.5365	
18	1	0.86667	5.2	6.0575	
19	1	0.91667	5.5	6.7139	
20	1	0.96667	5.8	7.5191	
21	1	1.	6.	8.1447	
