	Steps	Time [s]	Deformation Probe  (Total) [mm]	[A] Force Reaction  (Y) [N]	
1	1	3.3333e-002	0.13333	0.96703	
2	1	6.6667e-002	0.26667	1.7666	
3	1	0.11667	0.46667	2.6849	
4	1	0.16667	0.66667	3.307	
5	1	0.21667	0.86667	3.6807	
6	1	0.26667	1.0667	3.8635	
7	1	0.31667	1.2667	3.9244	
8	1	0.36667	1.4667	3.9272	
9	1	0.41667	1.6667	3.9275	
10	1	0.46667	1.8667	3.9776	
11	1	0.51667	2.0667	4.1315	
12	1	0.56667	2.2667	4.4407	
13	1	0.61667	2.4667	4.9405	
14	1	0.66667	2.6667	5.6563	
15	1	0.71667	2.8667	6.612	
16	1	0.76667	3.0667	7.8317	
17	1	0.81667	3.2667	9.3398	
18	1	0.86667	3.4667	11.161	
19	1	0.91667	3.6667	13.315	
20	1	0.96667	3.8667	15.833	
21	1	1.	4.	17.725	
