	Steps	Time [s]	Deformation Probe  (Total) [mm]	[A] Force Reaction  (Y) [N]	
1	1	3.3333e-002	0.13333	0.76557	
2	1	6.6667e-002	0.26667	1.3986	
3	1	0.11667	0.46667	2.1255	
4	1	0.16667	0.66667	2.6181	
5	1	0.21667	0.86667	2.9139	
6	1	0.26667	1.0667	3.0586	
7	1	0.31667	1.2667	3.1069	
8	1	0.36667	1.4667	3.109	
9	1	0.41667	1.6667	3.1093	
10	1	0.46667	1.8667	3.1489	
11	1	0.51667	2.0667	3.2707	
12	1	0.56667	2.2667	3.5155	
13	1	0.61667	2.4667	3.9112	
14	1	0.66667	2.6667	4.4779	
15	1	0.71667	2.8667	5.2345	
16	1	0.76667	3.0667	6.2001	
17	1	0.81667	3.2667	7.394	
18	1	0.86667	3.4667	8.8354	
19	1	0.91667	3.6667	10.541	
20	1	0.96667	3.8667	12.535	
21	1	1.	4.	14.033	
