	Steps	Time [s]	Deformation Probe  (Total) [mm]	[A] Force Reaction  (Total) [N]	
1	1	3.3333e-002	0.13333	2.8431	
2	1	6.6667e-002	0.26667	4.7945	
3	1	0.11667	0.46667	6.1567	
4	1	0.16667	0.66667	6.3422	
5	1	0.21667	0.86667	6.1701	
6	1	0.26667	1.0667	5.8763	
7	1	0.31667	1.2667	5.5285	
8	1	0.36667	1.4667	5.1474	
9	1	0.41667	1.6667	4.7461	
10	1	0.46667	1.8667	4.3315	
11	1	0.51667	2.0667	3.9058	
12	1	0.56667	2.2667	3.4624	
13	1	0.61667	2.4667	2.974	
14	1	0.66667	2.6667	2.5567	
15	1	0.71667	2.8667	5.1262	
16	1	0.76667	3.0667	10.182	
17	1	0.81667	3.2667	17.14	
18	1	0.86667	3.4667	26.06	
19	1	0.91667	3.6667	37.102	
20	1	0.96667	3.8667	50.34	
21	1	1.	4.	60.445	
