	Steps	Time [s]	Deformation Probe  (Total) [mm]	[A] Force Reaction  (Y) [N]	
1	1	3.3333e-002	0.13333	1.3125	
2	1	6.6667e-002	0.26667	2.2321	
3	1	0.11667	0.46667	2.6988	
4	1	0.16667	0.66667	2.508	
5	1	0.21667	0.86667	2.1804	
6	1	0.26667	1.0667	1.8125	
7	1	0.31667	1.2667	1.4275	
8	1	0.36667	1.4667	1.0355	
9	1	0.41667	1.6667	0.64213	
10	1	0.46667	1.8667	0.2535	
11	1	0.51667	2.0667	-0.12097	
12	1	0.56667	2.2667	-0.4609	
13	1	0.61667	2.4667	-0.67635	
14	1	0.66667	2.6667	-0.36668	
15	1	0.71667	2.8667	0.78352	
16	1	0.76667	3.0667	2.5969	
17	1	0.81667	3.2667	5.0706	
18	1	0.86667	3.4667	8.2448	
19	1	0.91667	3.6667	12.158	
20	1	0.96667	3.8667	16.842	
21	1	1.	4.	20.415	
