	Steps	Time [s]	Deformation Probe  (Total) [mm]	[A] Force Reaction  (Total) [N]	
1	1	3.3333e-002	0.13333	0.25804	
2	1	6.6667e-002	0.26667	0.51209	
3	1	0.11667	0.46667	0.88582	
4	1	0.16667	0.66667	1.2515	
5	1	0.21667	0.86667	1.6097	
6	1	0.26667	1.0667	1.9611	
7	1	0.31667	1.2667	2.3063	
8	1	0.36667	1.4667	2.6457	
9	1	0.41667	1.6667	2.9798	
10	1	0.46667	1.8667	3.3092	
11	1	0.51667	2.0667	3.6342	
12	1	0.56667	2.2667	3.9552	
13	1	0.61667	2.4667	4.2726	
14	1	0.66667	2.6667	4.5867	
15	1	0.71667	2.8667	4.898	
16	1	0.76667	3.0667	5.2066	
17	1	0.81667	3.2667	5.513	
18	1	0.86667	3.4667	5.8174	
19	1	0.91667	3.6667	6.1201	
20	1	0.96667	3.8667	6.4214	
21	1	1.	4.	6.6216	
