	Steps	Time [s]	Deformation Probe  (Total) [mm]	[A] Force Reaction  (Total) [N]	
1	1	3.3333e-002	0.13333	0.20429	
2	1	6.6667e-002	0.26667	0.40541	
3	1	0.11667	0.46667	0.70127	
4	1	0.16667	0.66667	0.99075	
5	1	0.21667	0.86667	1.2744	
6	1	0.26667	1.0667	1.5526	
7	1	0.31667	1.2667	1.8258	
8	1	0.36667	1.4667	2.0945	
9	1	0.41667	1.6667	2.359	
10	1	0.46667	1.8667	2.6198	
11	1	0.51667	2.0667	2.8771	
12	1	0.56667	2.2667	3.1312	
13	1	0.61667	2.4667	3.3825	
14	1	0.66667	2.6667	3.6312	
15	1	0.71667	2.8667	3.8776	
16	1	0.76667	3.0667	4.1219	
17	1	0.81667	3.2667	4.3645	
18	1	0.86667	3.4667	4.6055	
19	1	0.91667	3.6667	4.8451	
20	1	0.96667	3.8667	5.0836	
21	1	1.	4.	5.2421	
