	Steps	Time [s]	Deformation Probe  (Total) [mm]	[A] Force Reaction  (Y) [N]	
1	1	3.3333e-002	0.4	3.2052	
2	1	6.6667e-002	0.8	5.5513	
3	1	0.11667	1.4	7.2	
4	1	0.16667	2.	7.4852	
5	1	0.21667	2.6	7.428	
6	1	0.26667	3.2	7.2547	
7	1	0.31667	3.8	7.0198	
8	1	0.36667	4.4	6.7488	
9	1	0.41667	5.	6.457	
10	1	0.46667	5.6	6.1574	
11	1	0.51667	6.2	5.8644	
12	1	0.56667	6.8	5.6002	
13	1	0.61667	7.4	5.4137	
14	1	0.66667	8.	5.4736	
15	1	0.71667	8.6	6.3798	
16	1	0.76667	9.2	8.6174	
17	1	0.81667	9.8	11.973	
18	1	0.86667	10.4	16.453	
19	1	0.91667	11.	22.146	
20	1	0.96667	11.6	29.149	
21	1	1.	12.	34.585	
