	Steps	Time [s]	Deformation Probe  (Total) [mm]	[A] Force Reaction  (Y) [N]	
1	1	1.6667e-002	8.3333e-002	1.3931	
2	1	3.3333e-002	0.16667	2.6508	
3	1	5.8333e-002	0.29167	4.2763	
4	1	8.3333e-002	0.41667	5.5765	
5	1	0.10833	0.54167	6.4831	
6	1	0.13333	0.66667	6.9797	
7	1	0.15833	0.79167	7.204	
8	1	0.18333	0.91667	7.2933	
9	1	0.20833	1.0417	7.3157	
10	1	0.23333	1.1667	7.2991	
11	1	0.25833	1.2917	7.2572	
12	1	0.28333	1.4167	7.1974	
13	1	0.30833	1.5417	7.1242	
14	1	0.33333	1.6667	7.0404	
15	1	0.35833	1.7917	6.948	
16	1	0.38333	1.9167	6.84	
17	1	0.40833	2.0417	6.7431	
18	1	0.43333	2.1667	6.629	
19	1	0.45833	2.2917	6.5149	
20	1	0.48333	2.4167	6.399	
21	1	0.50833	2.5417	6.2803	
22	1	0.53333	2.6667	6.1597	
23	1	0.55833	2.7917	6.0382	
24	1	0.58333	2.9167	5.9167	
25	1	0.60833	3.0417	5.7962	
26	1	0.63333	3.1667	5.6677	
27	1	0.65833	3.2917	5.5595	
28	1	0.68333	3.4167	5.4371	
29	1	0.70833	3.5417	5.332	
30	1	0.73333	3.6667	5.2394	
31	1	0.75833	3.7917	5.1671	
32	1	0.78333	3.9167	5.1308	
33	1	0.80833	4.0417	5.1635	
34	1	0.83333	4.1667	5.3325	
35	1	0.85833	4.2917	5.7302	
36	1	0.88333	4.4167	6.3992	
37	1	0.90833	4.5417	7.2968	
38	1	0.93333	4.6667	8.3804	
39	1	0.95833	4.7917	9.6385	
40	1	0.98333	4.9167	11.073	
41	1	1.	5.	12.129	
