	Steps	Time [s]	Deformation Probe  (Total) [mm]	[A] Force Reaction  (Y) [N]	
1	1	1.6667e-002	8.3333e-002	2.1129	
2	1	3.3333e-002	0.16667	3.8534	
3	1	5.8333e-002	0.29167	5.6818	
4	1	8.3333e-002	0.41667	6.4965	
5	1	0.10833	0.54167	6.6727	
6	1	0.13333	0.66667	6.5953	
7	1	0.15833	0.79167	6.4201	
8	1	0.18333	0.91667	6.1917	
9	1	0.20833	1.0417	5.9316	
10	1	0.23333	1.1667	5.6512	
11	1	0.25833	1.2917	5.3563	
12	1	0.28333	1.4167	5.0507	
13	1	0.30833	1.5417	4.7367	
14	1	0.33333	1.6667	4.4161	
15	1	0.35833	1.7917	4.0901	
16	1	0.38333	1.9167	3.7597	
17	1	0.40833	2.0417	3.42	
18	1	0.43333	2.1667	3.0891	
19	1	0.45833	2.2917	2.7477	
20	1	0.48333	2.4167	2.4082	
21	1	0.50833	2.5417	2.0684	
22	1	0.53333	2.6667	1.7283	
23	1	0.55833	2.7917	1.3885	
24	1	0.58333	2.9167	1.0499	
25	1	0.60833	3.0417	0.70779	
26	1	0.63333	3.1667	0.37203	
27	1	0.65833	3.2917	3.9863e-002	
28	1	0.68333	3.4167	-0.28746	
29	1	0.70833	3.5417	-0.60829	
30	1	0.73333	3.6667	-0.92033	
31	1	0.75833	3.7917	-1.2202	
32	1	0.78333	3.9167	-1.5024	
33	1	0.80833	4.0417	-1.7573	
34	1	0.83333	4.1667	-1.9662	
35	1	0.85833	4.2917	-2.0875	
36	1	0.88333	4.4167	-2.0206	
37	1	0.90833	4.5417	-1.5502	
38	1	0.93333	4.6667	-0.46943	
39	1	0.95833	4.7917	1.1834	
40	1	0.98333	4.9167	3.3412	
41	1	1.	5.	5.0522	
