	Steps	Time [s]	Deformation Probe  (Total) [mm]	[A] Force Reaction  (Y) [N]	
1	1	1.6667e-002	8.3333e-002	0.16171	
2	1	3.3333e-002	0.16667	0.32176	
3	1	5.8333e-002	0.29167	0.55882	
4	1	8.3333e-002	0.41667	0.79272	
5	1	0.10833	0.54167	1.0233	
6	1	0.13333	0.66667	1.2507	
7	1	0.15833	0.79167	1.4753	
8	1	0.18333	0.91667	1.6972	
9	1	0.20833	1.0417	1.9164	
10	1	0.23333	1.1667	2.1332	
11	1	0.25833	1.2917	2.3476	
12	1	0.28333	1.4167	2.5598	
13	1	0.30833	1.5417	2.7699	
14	1	0.33333	1.6667	2.978	
15	1	0.35833	1.7917	3.1843	
16	1	0.38333	1.9167	3.3888	
17	1	0.40833	2.0417	3.5916	
18	1	0.43333	2.1667	3.7928	
19	1	0.45833	2.2917	3.9926	
20	1	0.48333	2.4167	4.1909	
21	1	0.50833	2.5417	4.388	
22	1	0.53333	2.6667	4.5839	
23	1	0.55833	2.7917	4.7786	
24	1	0.58333	2.9167	4.9723	
25	1	0.60833	3.0417	5.165	
26	1	0.63333	3.1667	5.3568	
27	1	0.65833	3.2917	5.5477	
28	1	0.68333	3.4167	5.7379	
29	1	0.70833	3.5417	5.9274	
30	1	0.73333	3.6667	6.1163	
31	1	0.75833	3.7917	6.3047	
32	1	0.78333	3.9167	6.4925	
33	1	0.80833	4.0417	6.6799	
34	1	0.83333	4.1667	6.8669	
35	1	0.85833	4.2917	7.0537	
36	1	0.88333	4.4167	7.2401	
37	1	0.90833	4.5417	7.4264	
38	1	0.93333	4.6667	7.6126	
39	1	0.95833	4.7917	7.7987	
40	1	0.98333	4.9167	7.9847	
41	1	1.	5.	8.1087	
