	Steps	Time [s]	Deformation Probe  (Total) [mm]	[A] Force Reaction  (Y) [N]	
1	1	1.6667e-002	8.3333e-002	1.1802	
2	1	3.3333e-002	0.16667	2.2165	
3	1	5.8333e-002	0.29167	3.4871	
4	1	8.3333e-002	0.41667	4.3507	
5	1	0.10833	0.54167	4.8238	
6	1	0.13333	0.66667	5.0849	
7	1	0.15833	0.79167	5.2563	
8	1	0.18333	0.91667	5.385	
9	1	0.20833	1.0417	5.4877	
10	1	0.23333	1.1667	5.5731	
11	1	0.25833	1.2917	5.646	
12	1	0.28333	1.4167	5.7092	
13	1	0.30833	1.5417	5.7645	
14	1	0.33333	1.6667	5.8133	
15	1	0.35833	1.7917	5.8564	
16	1	0.38333	1.9167	5.8946	
17	1	0.40833	2.0417	5.9286	
18	1	0.43333	2.1667	5.959	
19	1	0.45833	2.2917	5.9863	
20	1	0.48333	2.4167	6.0108	
21	1	0.50833	2.5417	6.0332	
22	1	0.53333	2.6667	6.0537	
23	1	0.55833	2.7917	6.073	
24	1	0.58333	2.9167	6.0913	
25	1	0.60833	3.0417	6.1093	
26	1	0.63333	3.1667	6.1275	
27	1	0.65833	3.2917	6.1465	
28	1	0.68333	3.4167	6.1672	
29	1	0.70833	3.5417	6.1905	
30	1	0.73333	3.6667	6.218	
31	1	0.75833	3.7917	6.252	
32	1	0.78333	3.9167	6.2964	
33	1	0.80833	4.0417	6.3585	
34	1	0.83333	4.1667	6.4542	
35	1	0.85833	4.2917	6.6203	
36	1	0.88333	4.4167	6.9431	
37	1	0.90833	4.5417	7.5254	
38	1	0.93333	4.6667	8.3694	
39	1	0.95833	4.7917	9.4206	
40	1	0.98333	4.9167	10.659	
41	1	1.	5.	11.588	
