	Steps	Time [s]	Deformation Probe  (Total) [mm]	[A] Force Reaction  (Total) [N]	
1	1	3.3333e-002	0.33333	3.8219	
2	1	6.6667e-002	0.66667	6.0352	
3	1	0.11667	1.1667	7.0838	
4	1	0.16667	1.6667	7.3591	
5	1	0.21667	2.1667	7.4426	
6	1	0.26667	2.6667	7.395	
7	1	0.31667	3.1667	7.3589	
8	1	0.36667	3.6667	7.2852	
9	1	0.41667	4.1667	7.1832	
10	1	0.46667	4.6667	7.0621	
11	1	0.51667	5.1667	6.9292	
12	1	0.56667	5.6667	6.7837	
13	1	0.61667	6.1667	6.6523	
14	1	0.66667	6.6667	6.5059	
15	1	0.71667	7.1667	6.3942	
16	1	0.76667	7.6667	6.4174	
17	1	0.81667	8.1667	6.455	
18	1	0.86667	8.6667	7.3321	
19	1	0.91667	9.1667	10.686	
20	1	0.96667	9.6667	16.649	
21	1	1.	10.	21.967	
