	Frequency [Hz]	Real [mm/s2]	
1	0.2	0.1002	
2	0.4	0.1008	
3	0.6	0.10181	
4	0.8	0.10326	
5	1.	0.1052	
6	1.2	0.10766	
7	1.4	0.11072	
8	1.6	0.11447	
9	1.8	0.11905	
10	2.	0.12462	
11	2.2	0.13142	
12	2.4	0.13976	
13	2.6	0.15013	
14	2.8	0.16319	
15	3.	0.18003	
16	3.2	0.20234	
17	3.4	0.23308	
18	3.6	0.27786	
19	3.8	0.34868	
20	4.	0.47676	
21	4.2	0.77668	
22	4.4	2.2827	
23	4.6	-2.2179	
24	4.8	-0.72499	
25	5.	-0.42603	
26	5.2	-0.29809	
27	5.4	-0.22719	
28	5.6	-0.18221	
29	5.8	-0.1512	
30	6.	-0.12855	
31	6.2	-0.11131	
32	6.4	-9.7765e-002	
33	6.6	-8.6863e-002	
34	6.8	-7.7907e-002	
35	7.	-7.043e-002	
36	7.2	-6.4099e-002	
37	7.4	-5.8677e-002	
38	7.6	-5.3985e-002	
39	7.8	-4.9889e-002	
40	8.	-4.6287e-002	
41	8.2	-4.3096e-002	
42	8.4	-4.0252e-002	
43	8.6	-3.7705e-002	
44	8.8	-3.5411e-002	
45	9.	-3.3337e-002	
46	9.2	-3.1453e-002	
47	9.4	-2.9735e-002	
48	9.6	-2.8164e-002	
49	9.8	-2.6723e-002	
50	10.	-2.5396e-002	
51	10.2	-2.4172e-002	
52	10.4	-2.304e-002	
53	10.6	-2.199e-002	
54	10.8	-2.1014e-002	
55	11.	-2.0105e-002	
56	11.2	-1.9256e-002	
57	11.4	-1.8463e-002	
58	11.6	-1.7721e-002	
59	11.8	-1.7024e-002	
60	12.	-1.6369e-002	
61	12.2	-1.5754e-002	
62	12.4	-1.5173e-002	
63	12.6	-1.4626e-002	
64	12.8	-1.4109e-002	
65	13.	-1.362e-002	
66	13.2	-1.3156e-002	
67	13.4	-1.2717e-002	
68	13.6	-1.2301e-002	
69	13.8	-1.1905e-002	
70	14.	-1.1528e-002	
71	14.2	-1.117e-002	
72	14.4	-1.0829e-002	
73	14.6	-1.0504e-002	
74	14.8	-1.0193e-002	
75	15.	-9.8966e-003	
76	15.2	-9.6132e-003	
77	15.4	-9.3422e-003	
78	15.6	-9.0828e-003	
79	15.8	-8.8343e-003	
80	16.	-8.5962e-003	
81	16.2	-8.3678e-003	
82	16.4	-8.1487e-003	
83	16.6	-7.9382e-003	
84	16.8	-7.736e-003	
85	17.	-7.5416e-003	
86	17.2	-7.3546e-003	
87	17.4	-7.1746e-003	
88	17.6	-7.0013e-003	
89	17.8	-6.8344e-003	
90	18.	-6.6734e-003	
91	18.2	-6.5183e-003	
92	18.4	-6.3685e-003	
93	18.6	-6.224e-003	
94	18.8	-6.0845e-003	
95	19.	-5.9496e-003	
96	19.2	-5.8193e-003	
97	19.4	-5.6933e-003	
98	19.6	-5.5714e-003	
99	19.8	-5.4535e-003	
100	20.	-5.3394e-003	
